scientificName;phylum_name;class_name;order_name;family_name;genus_name;broad
uncultured Candidatus Solibacter sp.;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;bactérie
uncultured Solibacter sp.;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;bactérie
Stigmalychus sp. AD1318;Arthropoda;Arachnida;Endeostigmata;Alicorhagiidae;Stigmalychus;acariens
Sarcoptiformes;Arthropoda;Arachnida;NA;NA;NA;acariens
auricularia species complex;Arthropoda;Insecta;Dermaptera;Forficulidae;Forficula;insecte
Forficula sp. NC-1995;Arthropoda;Insecta;Dermaptera;Forficulidae;Forficula;insecte
Dorylaimina;Nematoda;Enoplea;Dorylaimida;NA;NA;nématode
Dorylaimoidea;Nematoda;Enoplea;Dorylaimida;NA;NA;nématode
Pungentinae;Nematoda;Enoplea;Dorylaimida;Nordiidae;NA;nématode
Pungentus sp. PDL-2005;Nematoda;Enoplea;Dorylaimida;Nordiidae;Pungentus;nématode
Prodorylaimus sp. HHBM-2007a;Nematoda;Enoplea;Dorylaimida;Qudsianematidae;Prodorylaimus;nématode
Dorylaimia;Nematoda;Enoplea;NA;NA;NA;nématode
uncultured Saccharophagus sp.;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Saccharophagus;bactérie
uncultured Haliea sp.;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Haliea;bactérie
uncultured Nitrosococcus sp.;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;bactérie
uncultured Thiohalospira sp.;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira;bactérie
uncultured Thiorhodospira sp.;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira;bactérie
uncultured Legionella sp.;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;bactérie
uncultured Steroidobacter sp.;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Steroidobacter;bactérie
uncultured Pseudomonas sp.;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;bactérie
uncultured Dokdonella sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;bactérie
uncultured Dyella sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dyella;bactérie
Rhodanobacter sp. D47;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;bactérie
Rudaea sp. URHD0100;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rudaea;bactérie
Arenimonas sp. HMF3017;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;bactérie
uncultured Arenimonas sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;bactérie
Lysobacter sp. MS6Y-8-7;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;bactérie
Lysobacter sp. RHLT3-4;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;bactérie
Lysobacter sp. YS-37;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;bactérie
uncultured Lysobacter sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;bactérie
uncultured Thermomonas sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;bactérie
uncultured Xanthomonas sp.;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;bactérie
Cladosporium sp. CB-20;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;fungi
Gaeumannomyces graminis var. avenae;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Gaeumannomyces;fungi
Gliricola sp. 274;Arthropoda;Phthiraptera;Insecta;Gyropidae;Gliricola;insecte
Leptosphaeria biglobosa 'brassicae' group;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Leptosphaeria;fungi
Rhizoctonia zeae;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Waitea;fungi
Thripinae;Arthropoda;Insecta;Thysanoptera;Thripidae;NA;insecte
Hoplolaiminae;Nematoda;Chromadorea;Tylenchida;Hoplolaimidae;NA;nématode
Spongospora sp. HH-2014;cercozoa;NA;NA;Plasmodiophoridae;Spongospora;protiste
Spongospora subterranea f. sp. nasturtii;cercozoa;NA;NA;Plasmodiophoridae;Spongospora;protiste
Hantzschia amphioxys f. muelleri;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Hantzschia;algue
Bacillariophycidae;Bacillariophyta;Bacillariophyceae;NA;NA;NA;algue
Mayamaea sp. KAS1111;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Mayamaea;algue
Actinochloris sp. BCP-LG3VF20;Chlorophyta;Chlorophyceae;Chlamydomonadales;Actinochloridaceae;Actinochloris;algue
Palmellopsis sp. BCP-EM1VF1;Chlorophyta;Chlorophyceae;Tetrasporales;Palmellaceae;Palmellopsis;algue
unclassified Spumella;Chrysophyceae;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;algue
Botryochloris sp. SiM-2003;Xanthophyceae;NA;Mischococcales;Botryochloridaceae;Botryochloris;algue
Oikomonas sp. SA-2.1;Chrysophyceae;NA;NA;Oikomonadaceae;Oikomonas;algue
Xanthonema sp. 735;Xanthophyceae;NA;Tribonematales;Xanthonemataceae;Xanthonema;algue
Nannochloris sp. JL 4-6;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;algue
Apioideae;Streptophyta;NA;Apiales;Apiaceae;NA;plantes
Scandicinae;Streptophyta;NA;Apiales;Apiaceae;NA;plantes
Asteroideae;Streptophyta;NA;Asterales;Asteraceae;NA;plantes
Alsineae;Streptophyta;NA;Caryophyllales;Caryophyllaceae;NA;plantes
Papilionoideae;Streptophyta;NA;Fabales;Fabaceae;NA;plantes
Vigna angularis var. angularis;Streptophyta;NA;Fabales;Fabaceae;Vigna;plantes
fabids;Streptophyta;NA;NA;NA;NA;plantes
Dicranidae;Streptophyta;Bryopsida;NA;NA;NA;Mousse
Funariidae;Streptophyta;Bryopsida;NA;NA;NA;Mousse
Petrosaviidae;Streptophyta;Liliopsida;NA;NA;NA;plantes
Marsdenieae;Streptophyta;NA;Gentianales;Apocynaceae;NA;plantes
Plantagineae;Streptophyta;NA;Lamiales;Plantaginaceae;NA;plantes
campanulids;Streptophyta;NA;NA;NA;NA;plantes
Embryophyta;Streptophyta;NA;NA;NA;NA;plantes
eudicotyledons;Streptophyta;NA;NA;NA;NA;plantes
Euphyllophyta;Streptophyta;NA;NA;NA;NA;plantes
lamiids;Streptophyta;NA;NA;NA;NA;plantes
rosids;Streptophyta;NA;NA;NA;NA;plantes
Pinidae;Streptophyta;NA;NA;NA;NA;plantes
Hordeinae;Streptophyta;Liliopsida;Poales;Poaceae;NA;plantes
PACMAD clade;Streptophyta;Liliopsida;Poales;Poaceae;NA;plantes
Poeae;Streptophyta;Liliopsida;Poales;Poaceae;NA;plantes
Poeae Chloroplast Group 1 (Aveneae type);Streptophyta;Liliopsida;Poales;Poaceae;NA;plantes
Poeae Chloroplast Group 2 (Poeae type);Streptophyta;Liliopsida;Poales;Poaceae;NA;plantes
Pooideae;Streptophyta;Liliopsida;Poales;Poaceae;NA;plantes
Polygoneae;Streptophyta;NA;Caryophyllales;Polygonaceae;NA;plantes
Polygonoideae;Streptophyta;NA;Caryophyllales;Polygonaceae;NA;plantes
Papaveroideae;Streptophyta;NA;Ranunculales;Papaveraceae;NA;plantes
Saliceae;Streptophyta;NA;Malpighiales;Salicaceae;NA;plantes
Solanoideae;Streptophyta;NA;Solanales;Solanaceae;NA;plantes
Ochromonas sp. CCMP2761;Chrysophyceae;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;algue
Spumella sp. 37G;Chrysophyceae;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;algue
Spumella sp. 37G;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;algue
Spumella sp. CH3;Chrysophyceae;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;algue
Spumella sp. SpiG;Chrysophyceae;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;algue
Spumella sp. SpiG;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;algue
Paraphysomonas sp. 22 JMS-2012;Chrysophyceae;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;algue
Aphidinae;Arthropoda;Insecta;Hemiptera;Aphididae;NA;insecte
Macrosiphini;Arthropoda;Insecta;Hemiptera;Aphididae;NA;insecte
Tylenchinae;Nematoda;Chromadorea;Tylenchida;Tylenchidae;NA;nématode
Colpoda sp. MD-2011;ciliata;Colpodea;Colpodida;Colpodidae;Colpoda;protiste
Colpoda sp. PRA-118;ciliata;Colpodea;Colpodida;Colpodidae;Colpoda;protiste
Sphenoderiidae;amoebozoa;NA;Euglyphida;Sphenoderiidae;NA;protiste
Heterophrys sp. Oxford1;heliozoa;NA;NA;Heterophryidae;Heterophrys;protiste
Lamproderma sp. SAPA:100012;amoebozoa;NA;Stemonitida;Stemonitidae;Lamproderma;protiste
Cercomonas sp. ATCC 50367;cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;protiste
Cercomonas sp. HFCC 905;cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;protiste
Eocercomonas sp. HFCC 908;cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Eocercomonas;protiste
Eocercomonas sp. HFCC 909;cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Eocercomonas;protiste
Paracercomonas sp. HFCC 913;cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Paracercomonas;protiste
Paracercomonas sp. HFCC 918;cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Paracercomonas;protiste
Bodomorpha sp. HFCC56;cercozoa;Sarcomonadea;Cercomonadida;Heteromitidae;Bodomorpha;protiste
Bodomorpha sp. HFCC57;cercozoa;Sarcomonadea;Cercomonadida;Heteromitidae;Bodomorpha;protiste
Rhogostoma sp. CCAP 1966/4;Cercozoa;Thecofilosea;Tectofilosida;Chlamydophryidae;Rhogostoma;protiste
Tetrahymenina;ciliata;Oligohymenophorea;Hymenostomatida;NA;NA;protiste
Peritrichia;ciliata;Oligohymenophorea;NA;NA;NA;protiste
Pseudovorticella sp. 5 PS-2016;ciliata;Oligohymenophorea;NA;Vorticellidae;Pseudovorticella;protiste
Vorticella sp. PPS-2011b;ciliata;Oligohymenophorea;NA;Vorticellidae;Vorticella;protiste
Stichotrichia;ciliata;Spirotrichea;NA;NA;NA;protiste
Gonostomum sp. JS-2012;ciliata;Spirotrichea;Sporadotrichida;Trachelostylidae;Gonostomum;protiste
Pseudouroleptus sp. ALT-2014;ciliata;Spirotrichea;Stichotrichida;Spirofilidae;Pseudouroleptus;protiste
Caudiholosticha sp. Zlv-2015;ciliata;Spirotrichea;Urostylida;Urostylidae;Caudiholosticha;protiste
Fuscheria sp. VBOEF-2011;ciliata;Litostomatea;Haptorida;Acropisthiidae;Fuscheria;protiste
Dileptus sp.;ciliata;Litostomatea;Haptorida;Dileptidae;Dileptus;protiste
Dileptida;ciliata;Litostomatea;Haptorida;NA;NA;protiste
Arcuospathidium namibiense tristicha;ciliata;Litostomatea;Haptorida;Spathidiidae;Arcuospathidium;protiste
Epispathidium sp. RV-2015;ciliata;Litostomatea;Haptorida;Spathidiidae;Epispathidium;protiste
Trichostomatia;ciliata;Litostomatea;NA;NA;NA;protiste
Amphileptus sp. ZY-2014b;ciliata;Litostomatea;Pleurostomatida;Amphileptidae;Amphileptus;protiste
Hemiamphisiella terricola qingdaoensis;ciliata;Spirotrichea;Stichotrichida;Amphisiellidae;Hemiamphisiella;protiste
Blaberolaelaps sp. APGD-2010;Arthropoda;Arachnida;Mesostigmata;Laelapidae;Blaberolaelaps;acariens
Gamasina;Arthropoda;Arachnida;Mesostigmata;NA;NA;acariens
Veigaia sp. 2 APGD-2010;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;Veigaia;acariens
Aporcelaimellus sp. 2010_050;Nematoda;Enoplea;Dorylaimida;Aporcelaimidae;Aporcelaimellus;nématode
Nygolaiminae;Nematoda;Enoplea;Dorylaimida;Nygolaimidae;NA;nématode
Chthonius sp. 2 JM-2008;Arthropoda;Arachnida;Pseudoscorpiones;Chthoniidae;Chthonius;pseudoscor
Pleurostigmophora;Arthropoda;Chilopoda;NA;NA;NA;chilopode
Resource::Decaying_wood;Resource::Decaying_wood;Resource::Decaying_wood;Resource::Decaying_wood;Resource::Decaying_wood;Resource::Decaying_wood;resource
Resource::Dung;Resource::Dung;Resource::Dung;Resource::Dung;Resource::Dung;Resource::Dung;resource
Resource::Light;Resource::Light;Resource::Light;Resource::Light;Resource::Light;Resource::Light;resource
Resource::Litter;Resource::Litter;Resource::Litter;Resource::Litter;Resource::Litter;Resource::Litter;resource
Resource::MOS;Resource::MOS;Resource::MOS;Resource::MOS;Resource::MOS;Resource::MOS;resource
Lepidocyrtus sp. 1 FZ-2013;Arthropoda;Collembola;Collembola;Entomobryidae;Lepidocyrtus;collembole
Ceratophysella sp. FZ-2014;Arthropoda;Collembola;Collembola;Hypogastruridae;Ceratophysella;collembole
Entomobryoidea;Arthropoda;Collembola;Collembola;NA;NA;collembole
Poduroidea;Arthropoda;Collembola;Collembola;NA;NA;collembole
Megalothorax sp. EA040003-cs17;Arthropoda;Collembola;Collembola;Neelidae;Megalothorax;collembole
Megalothorax sp. EA040004-cs23;Arthropoda;Collembola;Collembola;Neelidae;Megalothorax;collembole
Megalothorax sp. EA040008-cs9;Arthropoda;Collembola;Collembola;Neelidae;Megalothorax;collembole
Entomobrya sp. 9644 FZ-2013;Arthropoda;Collembola;NA;Entomobryidae;Entomobrya;collembole
Tetracanthella sp. YB-2012;Arthropoda;Collembola;NA;Isotomidae;Tetracanthella;collembole
Vertagopus sp. YB-2012;Arthropoda;Collembola;NA;Isotomidae;Vertagopus;collembole
Entomobryoidea;Arthropoda;Collembola;NA;NA;NA;collembole
Poduroidea;Arthropoda;Collembola;NA;NA;NA;collembole
Megalothorax sp. EA040004-cs23;Arthropoda;Collembola;NA;Neelidae;Megalothorax;collembole
Megalothorax sp. EA040008-cs9;Arthropoda;Collembola;NA;Neelidae;Megalothorax;collembole
Lumbricinae;Annelida;Haplotaxida;Haplotaxida;Lumbricidae;NA;annelide
NA;Annelida;Haplotaxida;Haplotaxida;Lumbricidae;NA;annelide
Tipulinae;Arthropoda;Insecta;Diptera;Tipulidae;NA;insecte
Liochthonius sp. AD1300;Arthropoda;Arachnida;Oribatida;Brachychthoniidae;Liochthonius;acariens
Brachypylina;Arthropoda;Arachnida;Oribatida;NA;NA;acariens
Ceratozetoidea;Arthropoda;Arachnida;Oribatida;NA;NA;acariens
NA;Annelida;Haplotaxida;Haplotaxida;Enchytraeidae;Enchytraeus;annelide
NA;Annelida;Haplotaxida;Haplotaxida;Enchytraeidae;Fridericia;annelide
NA;Annelida;Haplotaxida;Haplotaxida;Enchytraeidae;Henlea;annelide
Endogone sp. OSC T14506;Mucoromycota;Zygomycota;Endogonales;Endogonaceae;Endogone;fungi
Endogone sp. W5994;Mucoromycota;Zygomycota;Endogonales;Endogonaceae;Endogone;fungi
Porpoloma sp. 2 MSG-2014;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Porpoloma;fungi
Endochytrium sp. JEL 324;Chytridiomycota;Chytridiomycetes;Cladochytriales;Endochytriaceae;Endochytrium;fungi
Rhizophydium sp. JEL136;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium;fungi
Rhizophydium sp. UGA-F16;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium;fungi
Pyrenochaeta sp. GMG_PPb7;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaeta;fungi
Sclerostagonospora sp. CBS 118142;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Sclerostagonospora;fungi
Penicillium sp. D01;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;fungi
Penicillium sp. SDI-2014f;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;fungi
Holwaya mucida subsp. nipponica;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Holwaya;fungi
Hyalorbilia sp. HOB-2016a;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Hyalorbilia;fungi
Orbilia sp. HOB-2016am;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia;fungi
Yarrowia sp. 25L;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;fungi
Mortierella sp. MS-6;Mucoromycota;Zygomycota;Mortierellales;Mortierellaceae;Mortierella;fungi
Tuber sp. CBS 272 72;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;fungi
uncultured Elusimicrobium sp.;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;bactérie
uncultured Fibrobacter sp.;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;bactérie
uncultured Fusobacterium sp.;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;bactérie
uncultured Ignavibacterium sp.;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;bactérie
environmental samples;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;bactérie
Nitrospira marina Nb-295;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;bactérie
uncultured Nitrospira sp.;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;bactérie
uncultured Turneriella sp.;Spirochaetes;Spirochaetia;NA;Leptospiraceae;Turneriella;bactérie
