"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30"
"1";1e-06;0,848684210526316;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,464285714285714;0,999999;0,015625;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;0,999999;1e-06
"2";0,848684210526316;1e-06;0,994736842105263;0,12;0,1;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,03125;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,048374613003096;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;0,994736842105263;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,00104166666666667;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,00196078431372549;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;0,12;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,88;0,999999;0,46;0,00125;0,0366666666666667;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"5";1e-06;0,1;1e-06;1e-06;1e-06;0,1;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,9875;1e-06;1e-06;0,9;1e-06;1e-06;1e-06;1e-06;0,00294117647058824;1e-06;1e-06;1e-06;0,1;1e-06;1e-06
"6";1e-06;1e-06;1e-06;1e-06;0,1;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"7";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,998015873015873;0,952546296296296;0,944444444444444;0,4;1e-06;1e-06;1e-06;1e-06;0,0740740740740741;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,000816993464052288;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,998015873015873;1e-06;0,0178571428571429;1e-06;1e-06;1e-06;0,999999;0,839285714285714;0,0256696428571429;0,037202380952381;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,952546296296296;0,0178571428571429;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,09375;0,0208333333333333;0,0135209713024283;1e-06;1e-06;1e-06;1e-06;0,5;0,5;1e-06;0,875;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,944444444444444;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999
"11";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,4;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,999999
"12";1e-06;1e-06;1e-06;0,88;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,323529411764706;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"13";0,464285714285714;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;0,999999;1e-06;0,999999;0,999999;1e-06;1e-06;0,714285714285714;0,125;0,875;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;0,714285714285714;1e-06
"14";0,999999;1e-06;1e-06;0,46;1e-06;1e-06;1e-06;0,839285714285714;1e-06;1e-06;1e-06;1e-06;0,714285714285714;1e-06;0,3125;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0808823529411765;0,999999;1e-06;1e-06;1e-06;0,999999;1e-06
"15";0,015625;0,03125;0,00104166666666667;0,00125;1e-06;1e-06;1e-06;0,0256696428571429;0,09375;1e-06;1e-06;1e-06;0,125;0,3125;0,0221774193548387;0,0182291666666667;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,5625;1e-06;1e-06;1e-06;1e-06
"16";1e-06;1e-06;1e-06;0,0366666666666667;0,9875;1e-06;0,0740740740740741;0,037202380952381;0,0208333333333333;1e-06;1e-06;1e-06;0,875;1e-06;0,0182291666666667;1e-06;0,992825607064018;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,017156862745098;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"17";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0135209713024283;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,992825607064018;1e-06;0,999999;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"18";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06
"19";1e-06;1e-06;1e-06;1e-06;0,9;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,999999
"20";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999
"21";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999
"22";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,5;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,0294117647058824;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999
"23";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,5;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,0294117647058824;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"24";1e-06;0,048374613003096;0,00196078431372549;1e-06;0,00294117647058824;1e-06;0,000816993464052288;1e-06;1e-06;1e-06;1e-06;0,323529411764706;1e-06;0,0808823529411765;1e-06;0,017156862745098;1e-06;1e-06;1e-06;1e-06;1e-06;0,0294117647058824;0,0294117647058824;0,000438981562774363;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"25";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,875;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06
"26";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,5625;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06
"27";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"28";1e-06;1e-06;1e-06;1e-06;0,1;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999
"29";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,714285714285714;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06
"30";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
