SPEC;LABEL
Paracercomonas sp. HFCC 918;0
Parafilimonas terrae;2
Paraglomus;9
Paraglomus brasilianum;9
Paraphysomonas;0
Paraphysomonas sp. 22 JMS-2012;0
Paratylenchus;7
Paratylenchus cf. neoamblicephalus;7
Paratylenchus microdorus;7
Paratylenchus similis;7
Paucimonas lemoignei;2
Paulinella;0
Pedobacter;2
Pedobacter luteus;2
Pedobacter sp. FGR-05;2
Pedomicrobium;2
Pedosphaera parvula;2
Pelobacter;2
Pelomonas sp. CR2;2
Pelomonas sp. K89;2
Pemphigus;3
Penicillium;1
Penicillium sp. D01;1
Penicillium sp. SDI-2014f;1
Peniophorella praetermissa;1
Pentapharsodinium tyrrhenicum;4
Peregrinia clavideferens;0
Perlucidibaca;2
Persicaria;8
Peyerimhoffia alpina;3
Phacelia tanacetifolia;8
Phaeosphaeria;1
Phenylobacterium;2
Phenylobacterium lituiforme;2
Phenylobacterium sp. B6.10-61;2
Phenylobacterium sp. enrichment culture clone LplF-80;2
Phenylobacterium sp. URHA0004;2
Phialina salinarum;6
Pholiota squarrosa;1
Phoma herbarum;7
Phycisphaera mikurensis;4
Phyllobacterium;2
Picea;8
Picea abies;8
Pilogalumna rosauraruizae;5
Pinus;8
Piptocephalis graefenhanii;1
Pirellula sp.;4
Pirellula staleyi;4
Pisum;8
Planctomyces;4
Planctomyces sp.;4
Platyophrya;0
Platyophrya bromelicola;0
Platyophrya vorax;0
Platyreta germanica;6
Plectus;6
Plectus aquatilis;6
Pleurochloris meiringensis;4
Pluteus petasatus;1
Pluteus phlebophorus;1
Podura aquatica;5
Polydesmus coriaceus;3
Polygonum;8
Polymyxa graminis;7
Pontibacter;2
Pontibacter sp. LX8;2
Porphyrobacter;2
Porpoloma sp. 2 MSG-2014;1
Poterioochromonas;0
Poterioochromonas malhamensis;0
Poterioochromonas stipitata;0
Pratylenchoides ritteri;7
Pratylenchus;7
Preussia;1
Prismatolaimus;6
Prismatolaimus cf. dolichurus JH-2004;6
Proceropycnis pinicola;1
Prodesmodora circulata;6
Prodorylaimus sp. HHBM-2007a;6
Prorodon;0
Protaphorura armata;5
Protaspis;0
Protaspis obliqua;0
Protocyclidium sinica;0
Protomyces;4
Protoribates hakonensis;3
Prototheca;4
Psathyrella sp. D16;1
Pseudaphelenchus;5
Pseudo-nitzschia heimii;4
Pseudochilodonopsis sp. 3 WS-2013;6
Pseudocyrtolophosis alpestris;0
Pseudomonas;2
Pseudonocardia;2
Pseudoplatynematum denticulatum;0
Pseudoplatyophrya nana;6
Pseudopleurochloris antarctica;4
Pseudouroleptus sp. ALT-2014;6
Pseudovorticella punctata;0
Pseudovorticella sp. 5 PS-2016;0
Psora;1
Pterula echo;1
Pungentus;6
Pungentus sp. PDL-2005;6
Pyrenochaeta sp. GMG_PPb7;1
Pythium;7
Pythium monospermum;7
Pythium rostratifingens;7
Pyxidiophora arvernensis;1
Ralstonia solanacearum;2
Ralstonia sp. JOS55-1;2
Ramariopsis kunzei;1
Ranunculus;8
Rathayibacter;2
Resource::Decaying_wood;4
Resource::Dung;1
Resource::Litter;1
Rhabditis;6
Rhabdolaimus;6
Rheum;8
Rhizobium;2
Rhizoctonia solani;7
Rhizoglyphus;5
Rhizomicrobium;2
Rhizomicrobium sp. URHE0053;2
Rhizophagus;9
Rhizophagus intraradices;9
Rhizophlyctis harderi;1
Rhizophlyctis rosea;1
Rhizophydium;7
Rhizophydium patellarium;1
Rhizophydium planktonicum;4
Rhizophydium sp. JEL136;1
Rhizophydium sp. UGA-F16;1
Rhodanobacter;2
Rhodanobacter sp. D47;2
Rhodococcus;2
Rhodoferax;2
Rhodomicrobium;2
Rhodopila globiformis;2
Rhodoplanes;2
Rhodoplanes sp. Z2-YC6860;2
Rhogostoma;0
Rhogostoma schuessleri;0
Rhogostoma sp. CCAP 1966/4;0
Rhopalosiphum padi;3
Rickettsiella;2
Robertus neglectus;3
Romanomermis sichuanensis;4
Roseiarcus fermentans;2
Rotylenchulus borealis;7
Rotylenchulus reniformis;7
Rotylenchus vitis;7
Rudaea cellulosilytica;2
Rudaea sp. URHD0100;2
Rumex;8
Saccamoeba;0
Saccharomyces cerevisiae;1
Saccobolus dilutellus;1
Salinibacterium sp. CC13L1;2
Salvia nemorosa;8
Sanguibacter;2
Sclerostagonospora sp. CBS 118142;1
Scutellospora alterata;9
Scytinostroma;1
Sediminibacterium;2
Sediminibacterium aquarii;2
Segetibacter;2
Seinura demani;5
Seira barnardi;5
Septoglomus;9
Serpula incrassata;1
Siluania monomastiga;0
Sinapis alba;8
Singulisphaera rosea;4
Sistotrema;1
Sitona lineatus;3
Sminthurides aquaticus;5
Sminthurinus bimaculatus;5
Sminthurus viridis;5
Solirubrobacter;2
Solitalea;2
Sorangium cellulosum;2
Sorghum;8
Spathidium simplinucleatum;6
Sphaerobolus stellatus;1
Sphaeroeca;0
Sphaeroeca volvox;0
Sphenoderia;0
Sphingobacterium;2
Sphingobacterium sp. P-7;2
Sphingobium olei;2
Sphingomonas;2
Sphingomonas changbaiensis;2
Sphingomonas fennica;2
Sphingomonas sp. 52NP12;2
Sphingomonas sp. C0503;2
Sphingomonas sp. DB-II-12;2
Sphingomonas sp. LP105;2
Sphingomonas sp. ML1;2
Sphingomonas sp. NCCP-1295;2
Sphingomonas sp. THG-DN7.10;2
Sphingorhabdus;2
Sphingosinicella sp. YJ22;2
Spirochaeta;4
Spizellomyces;1
Spizellomyces punctatus;1
Sporichthya;2
Sporobolomyces;1
Spumella;0
Spumella lacusvadosi;0
Spumella sp. 37G;0
Spumella sp. CH3;0
Spumella sp. SpiG;0
Spumella vulgaris;0
Staphylococcus;2
Stellaria;8
Stenotrophomonas;2
Stephensia shanorii;1
Steroidobacter;2
Stigmalychus sp. AD1318;3
Stigmatella;2
Stilbocrea macrostoma;1
Streptacidiphilus alcalitolerans;2
Streptomyces;2
Streptomyces abietis;2
Streptomyces sp. PanSC6;2
Streptosporangium;2
Syncephalis depressa;1
Syncephalis fuscata;1
Tachyporus hypnorum;5
Tachysoma pellionellum;0
Talaromyces;1
Taraxacum kok-saghyz;8
Taxus;8
Tectocepheus;5
Tepidisphaera mucosa;4
Teratocephalus terrestris;6
Terracidiphilus gabretensis;4
Terrimonas;2
Terrimonas arctica;2
Terrimonas sp. URHE0054;2
Tetracanthella sp. YB-2012;5
Tetrahymena;0
Tetranychus urticae;3
Tetrodontophora bielanensis;5
Thaumatomastix;0
Thaumatomonas;0
Thecotheus holmskjoldii;4
Thermomonas;2
Tipula abdominalis;3
Tipula cockerelliana;3
Trechispora farinacea;1
Trechus;3
Trechus obtusus;3
Trechus quadristriatus;3
Tribonema;4
Trichocerca rattus;0
Trifolium;8
Trinema;0
Trinema enchelys;0
Trinema lineare;0
Tripyla;6
Trypanosoma;4
Tubeufia helicomyces;1
Tullbergia yosii;5
Tylencholaimus sp. PDL-2005;5
Tylenchus arcuatus;7
Tyrophagus;5
uncultured Acidimicrobium sp.;2
uncultured Acidisphaera sp.;2
uncultured Aciditerrimonas sp.;2
uncultured Acidobacterium sp.;4
uncultured Acidobacterium UA3;4
uncultured Acidothermus sp.;2
uncultured Acidovorax sp.;2
uncultured Actinoallomurus sp.;2
uncultured Actinocatenispora sp.;2
uncultured Actinomyces sp.;2
uncultured Actinoplanes sp.;2
uncultured Adhaeribacter sp.;2
uncultured Altererythrobacter sp.;2
uncultured Aminobacter sp.;2
uncultured Anaeromyxobacter sp.;2
uncultured Arenimonas sp.;2
uncultured Bacillus sp.;2
uncultured Bacteroides sp.;2
uncultured Bdellovibrio sp.;2
uncultured Bellilinea sp.;2
uncultured Blastochloris sp.;2
uncultured Bradyrhizobium sp.;2
uncultured Burkholderia sp.;2
uncultured Byssovorax sp.;2
uncultured Caldilinea sp.;2
uncultured Candidatus Koribacter sp.;4
uncultured Candidatus Microthrix sp.;2
uncultured Candidatus Nephrothrix sp.;2
uncultured Candidatus Nitrosopumilus sp.;2
uncultured Candidatus Solibacter sp.;4
uncultured Caulobacter sp.;2
uncultured Chitinophaga sp.;2
uncultured Chloroflexus sp.;2
uncultured Chondromyces sp.;2
uncultured Comamonas sp.;2
uncultured Conexibacter sp.;2
uncultured Crocinitomix sp.;2
uncultured Cupriavidus sp.;2
uncultured Curvibacter sp.;2
uncultured Cystobacter sp.;2
uncultured Cytophaga sp.;2
uncultured Dactylosporangium sp.;2
uncultured Dehalococcoides sp.;2
uncultured Demequina sp.;2
uncultured Denitratisoma sp.;2
uncultured Derxia sp.;2
uncultured Desulfitobacterium sp.;2
uncultured Desulfotalea sp.;2
uncultured Desulfovibrio sp.;2
uncultured Desulfovirga sp.;2
uncultured Desulfuromonas sp.;2
uncultured Dokdonella sp.;2
uncultured Dongia sp.;2
uncultured Dyella sp.;2
uncultured Edaphobacter sp.;4
uncultured Elusimicrobium sp.;4
uncultured Erythrobacter sp.;2
uncultured Ferribacterium sp.;2
uncultured Ferrimicrobium sp.;2
uncultured Ferrithrix sp.;2
uncultured Ferruginibacter sp.;2
uncultured Fibrobacter sp.;4
uncultured Flavisolibacter sp.;2
uncultured Flavobacterium sp.;2
uncultured Flexibacter sp.;2
uncultured Fluviicola sp.;2
uncultured Frankia sp.;2
uncultured Fusobacterium sp.;4
uncultured Gaiella sp.;2
uncultured Gemmata sp.;4
uncultured Gemmatimonas sp.;4
uncultured Geoalkalibacter sp.;2
uncultured Geobacter sp.;2
uncultured Georgfuchsia sp.;2
uncultured Geothermobacter sp.;2
uncultured Haliangium sp.;2
uncultured Haliea sp.;2
uncultured Haliscomenobacter sp.;2
uncultured Herbaspirillum sp.;2
uncultured Herminiimonas sp.;2
uncultured Holophaga sp.;4
uncultured Hydrogenophaga sp.;2
uncultured Hyphomicrobium sp.;2
uncultured Iamia sp.;2
uncultured Ignavibacterium sp.;4
uncultured Ilumatobacter sp.;2
uncultured Isosphaera sp.;4
uncultured Janibacter sp.;2
uncultured Kineococcus sp.;2
uncultured Kineosporia sp.;2
uncultured Kofleria sp.;2
uncultured Ktedonobacter sp.;2
uncultured Lacibacter sp.;2
uncultured Legionella sp.;2
uncultured Lentzea sp.;2
uncultured Levilinea sp.;2
uncultured Lishizhenia sp.;2
uncultured Longilinea sp.;2
uncultured Luteolibacter sp.;2
uncultured Lysobacter sp.;2
uncultured Malonomonas sp.;2
uncultured Marmoricola sp.;2
uncultured Massilia sp.;2
uncultured Mesorhizobium sp.;2
uncultured Methylobacillus sp.;2
uncultured Methylocapsa sp.;2
uncultured Methylocella sp.;2
uncultured Methylophilus sp.;2
uncultured Methylosinus sp.;2
uncultured Microlunatus sp.;2
uncultured Micromonospora sp.;2
uncultured Microvirga sp.;2
uncultured Moorella sp.;2
uncultured Mucilaginibacter sp.;2
uncultured Mycobacterium sp.;2
uncultured Nannocystis sp.;2
uncultured Niastella sp.;2
uncultured Nitratireductor sp.;2
uncultured Nitrosococcus sp.;2
uncultured Nitrososphaera sp.;2
uncultured Nitrosospira sp.;2
uncultured Nitrospira sp.;4
uncultured Nocardioides sp.;2
uncultured Novosphingobium sp.;2
uncultured Ohtaekwangia sp.;2
uncultured Opitutus sp.;2
uncultured Pasteuria sp.;2
uncultured Pedobacter sp.;2
uncultured Pedomicrobium sp.;2
uncultured Pedosphaera sp.;2
uncultured Pelobacter sp.;2
uncultured Phaselicystis sp.;2
uncultured Phenylobacterium sp.;2
uncultured Pirellula sp.;4
uncultured Planctomyces sp.;4
uncultured Polaromonas sp.;2
uncultured Polyangium sp.;2
uncultured Propionivibrio sp.;2
uncultured Prosthecobacter sp.;2
uncultured Prosthecomicrobium sp.;2
uncultured Pseudolabrys sp.;2
uncultured Pseudomonas sp.;2
uncultured Pseudonocardia sp.;2
uncultured Rhizobium sp.;2
uncultured Rhizomicrobium sp.;2
uncultured Rhodobium sp.;2
uncultured Rhodococcus sp.;2
uncultured Rhodoferax sp.;2
uncultured Rhodomicrobium sp.;2
uncultured Rhodopirellula sp.;4
uncultured Rhodoplanes sp.;2
uncultured Rhodopseudomonas sp.;2
uncultured Rhodothermus sp.;2
uncultured Roseiflexus sp.;2
uncultured Rubrobacter sp.;2
uncultured Saccharibacillus sp.;2
uncultured Saccharophagus sp.;2
uncultured Segetibacter sp.;2
uncultured Singulisphaera sp.;4
uncultured Sinomonas sp.;2
uncultured Skermanella sp.;2
uncultured Solibacter sp.;4
uncultured Solirubrobacter sp.;2
uncultured Solitalea sp.;2
uncultured Sphaerobacter sp.;2
uncultured Sphingobium sp.;2
uncultured Sphingomonas sp.;2
uncultured Sphingosinicella sp.;2
uncultured Sporichthya sp.;2
uncultured Stella sp.;2
uncultured Steroidobacter sp.;2
uncultured Sterolibacterium sp.;2
uncultured Streptomyces sp.;2
uncultured Syntrophobacter sp.;2
uncultured Syntrophus sp.;2
uncultured Terriglobus sp.;4
uncultured Terrimonas sp.;2
uncultured Thermaerobacter sp.;2
uncultured Thermoanaerobacter sp.;2
uncultured Thermoflavimicrobium sp.;2
uncultured Thermoleophilum sp.;2
uncultured Thermomonas sp.;2
uncultured Thiobacillus sp.;2
uncultured Thiohalospira sp.;2
uncultured Thiorhodospira sp.;2
uncultured Turneriella sp.;4
uncultured Verrucomicrobium sp.;2
uncultured Woodsholea sp.;2
uncultured Xanthomonas sp.;2
uncultured Zavarzinella sp.;4
Undibacterium;2
Uropoda orbicularis;5
Urostyla grandis;6
Vampyrella pendula;6
Variibacter gotjawalensis;2
Variovorax;2
Vaucheria terrestris;4
Veigaia;3
Veigaia nemorensis;3
Veigaia sp. 2 APGD-2010;3
Vermamoeba vermiformis;0
Veronica;8
Vertagopus sp. YB-2012;5
Vexillifera;0
Vigna angularis;8
Vorticella campanula;0
Vorticella sp. PPS-2011b;0
Vorticellides;0
Vulgatibacter incomptus;2
Waitea circinata;7
Willowsia nigromaculata;5
Woronina pythii;4
Xanthonema;4
Xanthonema bristolianum;4
Xanthonema sp. 735;4
Xiphinema;7
Xiphinema diversicaudatum;7
Yarrowia lipolytica;1
Yarrowia sp. 25L;1
Zea mays;8
Zoothamnium;0
