"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34"
"V1";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,0399999996445585;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V2";0,999999;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V3";1e-06;1e-06;1e-06;1e-06;0,0333333330355579;1e-06;1e-06;1e-06;0,899999980610055;0,722222202001157;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V4";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,0399999995619592;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V5";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V6";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V7";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,372549008694587;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,499999978516666;0,0749999984300021;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V10";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0666666648633324;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V11";1e-06;1e-06;0,0044444447136669;1e-06;0,133333330076674;1e-06;1e-06;1e-06;0,116666664514172;0,277777770168902;0,0126436781222161;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,022580645071575;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V12";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0764705877975653;1e-06;0,992941169034747;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0607210622905182;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V13";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0799999985369175;1e-06;0,001333333337832;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,00516129030316365;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V14";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,0399999997839554;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V15";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V16";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V17";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V18";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V19";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V20";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V21";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V22";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V23";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V24";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,107526878799871;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V25";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V26";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,0399999995619592;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V27";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V28";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V29";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V30";1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V31";0,999999;1e-06;0,966666650829358;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V32";1e-06;0,881578878096535;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0264900387043177;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0685897436077256;1e-06;1e-06
"V33";1e-06;0,828947335893317;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,033333333405001;1e-06;1e-06;1e-06;0,500000105614484;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,0806451593281283;1e-06;1e-06;0,131578943844049;1e-06;0,999999;1e-06;0,899999958960001;1e-06;1e-06;1e-06
"V34";1e-06;0,0131578944562327;0,833333275623353;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;1e-06;0,333333308003345;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,736842046880364;1e-06;0,999999;1e-06;0,799999933040005;1e-06;1e-06;0,245512813621729
