Endogone lactiflua;0
Otiorhynchus armadillo;0
Apusomonas proboscidea;1
Bardeliella pulchra;1
Bodomorpha;1
Bodomorpha sp. HFCC56;1
Bodomorpha sp. HFCC57;1
Bresslauides discoideus;1
Cercomonas;1
Cercomonas alexieffi;1
Cercomonas braziliensis;1
Cercomonas celer;1
Cercomonas fastiga;1
Cercomonas media;1
Cercomonas parambigua;1
Cercomonas parincurva;1
Cercomonas radiata;1
Cercomonas rapida;1
Cercomonas sp. ATCC 50367;1
Cercomonas sp. HFCC 905;1
Cercomonas vacuolata;1
Colpoda;1
Colpoda inflata;1
Colpoda sp. MD-2011;1
Colpoda sp. PRA-118;1
Corythion dubium;1
Echinamoeba exundans;1
Eocercomonas;1
Eocercomonas sp. HFCC 908;1
Eocercomonas sp. HFCC 909;1
Euglypha;1
Euglypha rotunda;1
Euglypha tuberculata;1
Heteromita;1
Heterophrys sp. Oxford1;1
Lamproderma sp. SAPA:100012;1
Maryna ovata;1
Massisteria marina;1
Nolandella;1
Paracercomonas;1
Paracercomonas astra;1
Paracercomonas compacta;1
Paracercomonas filosa;1
Paracercomonas paralaciniaegerens;1
Paracercomonas sp. HFCC 913;1
Paracercomonas sp. HFCC 918;1
Paulinella;1
Peregrinia clavideferens;1
Platyophrya;1
Platyophrya bromelicola;1
Platyophrya vorax;1
Pseudocyrtolophosis alpestris;1
Rhogostoma;1
Rhogostoma schuessleri;1
Rhogostoma sp. CCAP 1966/4;1
Saccamoeba;1
Sphenoderia;1
Thaumatomastix;1
Thaumatomonas;1
Trinema;1
Trinema enchelys;1
Trinema lineare;1
Vermamoeba vermiformis;1
Achaeta;2
Achaeta affinis;2
Achaeta bifollicula;2
Achaeta cf. bohemica PDW-2010;2
Achaeta unibulba;2
Chamaedrilus;2
Chamaedrilus aff. glandulosus A SM-2014;2
Chamaedrilus aff. sphagnetorum C SM-2014;2
Enchytraeus;2
Enchytraeus albidus;2
Enchytraeus buchholzi;2
Enchytraeus bulbosus;2
Enchytraeus christenseni;2
Enchytraeus lacteus;2
Enchytronia parva;2
Henlea;2
Henlea perpusilla;2
Marionina;2
Marionina clavata;2
Marionina communis;2
Marionina sublitoralis;2
Amphimallon solstitiale;3
Aphodius johnsoni;3
Ascobolus;3
Ascobolus stercorarius;3
Bolbitius vitellinus;3
Cheilymenia stercorea;3
Iodophanus carneus;3
Panaeolus;3
Saccobolus dilutellus;3
Thecotheus holmskjoldii;3
Anteholosticha;4
Anteholosticha gracilis;4
Anteholosticha monilata;4
Anteholosticha rectangula;4
Bresslaua vorax;4
Bryometopus pseudochilodon;4
Bryometopus sphagni;4
Caudiholosticha sp. Zlv-2015;4
Caudiholosticha sylvatica;4
Euplotes;4
Euplotes balteatus;4
Euplotes qatarensis;4
Euplotes trisulcatus;4
Gonostomum;4
Gonostomum namibiense;4
Gonostomum sp. JS-2012;4
Gonostomum strenuum;4
Nuclearia;4
Platyreta germanica;4
Pseudouroleptus sp. ALT-2014;4
Urostyla grandis;4
Vampyrella pendula;4
Actinochloris sp. BCP-LG3VF20;5
Botryochloris sp. SiM-2003;5
Bracteacoccus;5
Bumilleriopsis;5
Caulerpa cupressoides;5
Chlamydomonas;5
Chlamydomonas philotes;5
Chlamydomonas reinhardtii;5
Chlorella;5
Chlorella emersonii;5
Chlorellidium;5
Chlorellidium tetrabotrys;5
Chlorococcum;5
Coelastrella saipanensis;5
Desmodesmus;5
Dinobryon;5
Euduboscquella;5
Fistulifera;5
Hantzschia;5
Hantzschia amphioxys;5
Heterococcus caespitosus;5
Hibberdia magna;5
Jaagiella alpicola;5
Klebsormidium;5
Luticola permuticopsis;5
Mayamaea;5
Mayamaea sp. KAS1111;5
Micractinium;5
Mischococcus sphaerocephalus;5
Nannochloris sp. JL 4-6;5
Nitzschia;5
Nitzschia pusilla;5
Oikomonas sp. SA-2.1;5
Palmellopsis sp. BCP-EM1VF1;5
Pentapharsodinium tyrrhenicum;5
Pleurochloris meiringensis;5
Prototheca;5
Pseudo-nitzschia heimii;5
Pseudopleurochloris antarctica;5
Tribonema;5
Vaucheria terrestris;5
Xanthonema;5
Xanthonema bristolianum;5
Xanthonema sp. 735;5
Amphileptus sp. ZY-2014b;6
Arcuospathidium namibiense;6
Cultellothrix coemeterii;6
Cultellothrix lionotiformis;6
Dileptus microstoma;6
Dileptus sp.;6
Epispathidium sp. RV-2015;6
Epispathidium terricola;6
Fuscheria;6
Fuscheria sp. VBOEF-2011;6
Hemiamphisiella terricola;6
Monilicaryon monilatum;6
Neourostylopsis;6
Phialina salinarum;6
Spathidium simplinucleatum;6
Ceratophysella sp. FZ-2014;7
Entomobrya multifasciata;7
Entomobrya sp. 9644 FZ-2013;7
Folsomia candida;7
Folsomia quadrioculata;7
Friesea grisea;7
Histiostoma feroniarum;7
Isotoma viridis;7
Lepidocyrtus paradoxus;7
Lepidocyrtus sp. 1 FZ-2013;7
Orchesella villosa;7
Seira barnardi;7
Sminthurides aquaticus;7
Sminthurinus bimaculatus;7
Sminthurus viridis;7
Tetracanthella sp. YB-2012;7
Tyrophagus;7
Uropoda orbicularis;7
Vertagopus sp. YB-2012;7
Willowsia nigromaculata;7
Absidia glauca;8
Acrospermum;8
Acrospermum gramineum;8
Apiotrichum;8
Apiotrichum porosum;8
Archaeorhizomyces;8
Archaeorhizomyces borealis;8
Archaeorhizomyces finlayi;8
Articulospora proliferata;8
Asterostroma andinum;8
Auxarthron;8
Boudiera acanthospora;8
Brachyphoris oviparasitica;8
Bullera;8
Camarophyllus;8
Campanella subdendrophora;8
Catenaria;8
Chaetosphaeria ciliata;8
Chromosera;8
Craterocolla cerasi;8
Cyphellophora sessilis;8
Dictyosporium;8
Dioszegia;8
Dioszegia crocea;8
Dissophora decumbens;8
Endochytrium sp. JEL 324;8
Filobasidium stepposum;8
Geastrum saccatum;8
Gongronella;8
Gongronella butleri;8
Halteromyces radiatus;8
Hodophilus hymenocephalus;8
Holwaya mucida;8
Hyalorbilia sp. HOB-2016a;8
Hygrocybe;8
Hygrocybe reidii;8
Hymenoscyphus repandus;8
Hyphodiscus hymeniophilus;8
Hyphodontia rimosissima;8
Melastiza contorta;8
Mortierella;8
Mortierella sp. MS-6;8
Mucor;8
Multiclavula mucida;8
Orbilia sp. HOB-2016am;8
Panorbis viscosus;8
Penicillium;8
Penicillium sp. D01;8
Penicillium sp. SDI-2014f;8
Peniophorella praetermissa;8
Phaeosphaeria;8
Pholiota squarrosa;8
Pluteus petasatus;8
Pluteus phlebophorus;8
Porpoloma sp. 2 MSG-2014;8
Preussia;8
Proceropycnis pinicola;8
Psora;8
Pterula echo;8
Pyrenochaeta sp. GMG_PPb7;8
Pyxidiophora arvernensis;8
Ramariopsis kunzei;8
Rhizophlyctis harderi;8
Rhizophlyctis rosea;8
Rhizophydium patellarium;8
Rhizophydium sp. JEL136;8
Rhizophydium sp. UGA-F16;8
Saccharomyces cerevisiae;8
Sclerostagonospora sp. CBS 118142;8
Scytinostroma;8
Sphaerobolus stellatus;8
Spizellomyces;8
Spizellomyces punctatus;8
Sporobolomyces;8
Stephensia shanorii;8
Stereum ostrea;8
Stilbocrea macrostoma;8
Talaromyces;8
Tubeufia helicomyces;8
Yarrowia lipolytica;8
Yarrowia sp. 25L;8
Bisporella citrina;9
Cryphonectria parasitica;9
Guepiniopsis buccina;9
Hymenochaetopsis olivacea;9
Orbicula parietina;9
Psathyrella sp. D16;9
Serpula incrassata;9
Trechispora farinacea;9
Discolaimus cf. major HHBM-2007a;10
Ecumenicus;10
Mesodorylaimus cf. nigritulus AV-2005;10
Prodorylaimus sp. HHBM-2007a;10
Pungentus;10
Pungentus sp. PDL-2005;10
Tripyla;10
Abies;11
Achillea millefolium;11
Alnus;11
Anoplophrya marylandensis;11
Aphidius ervi;11
Beauveria;11
Calluna vulgaris;11
Canavalia ensiformis;11
Cardamine;11
Cedrus;11
Coccomyxa;11
Conopodium majus;11
Cordyceps cylindrica;11
Cordyceps memorabilis;11
Cystobasidium;11
Dactylis glomerata;11
Entyloma ficariae;11
Fallopia multiflora;11
Helianthus annuus;11
Herpetomonas;11
Hesperelaea palmeri;11
Holcus;11
Hyphochytrium catenoides;11
Ixiolirion tataricum;11
Juncus;11
Leptosphaeria biglobosa;11
Linum;11
Metarhizium;11
Metarhizium anisopliae;11
Monocystis agilis;11
Mykophagophrys terricola;11
Myrmica scabrinodis;11
Olpidium bornovanus;11
Olpidium brassicae;11
Persicaria;11
Phacelia tanacetifolia;11
Picea;11
Picea abies;11
Pinus;11
Pisum;11
Polygonum;11
Protomyces;11
Pseudoplatyophrya nana;11
Ranunculus;11
Resource::Decaying_wood;11
Resource::Dung;11
Resource::Litter;11
Rheum;11
Romanomermis sichuanensis;11
Rumex;11
Salvia nemorosa;11
Sinapis alba;11
Sorghum;11
Taraxacum kok-saghyz;11
Taxus;11
Trifolium;11
Trypanosoma;11
Veronica;11
Vigna angularis;11
Woronina pythii;11
Zea mays;11
Aphelenchoides;12
Aphelenchoides sp. 2137;12
Aphelenchus;12
Aphelenchus avenae;12
Ditylenchus dipsaci;12
Pseudaphelenchus;12
Seinura demani;12
Tylencholaimus sp. PDL-2005;12
Adineta vaga;13
Bicosoeca petiolata;13
Blepharisma;13
Blepharisma hyalinum;13
Codosiga;13
Diaphanoeca spiralifurca;13
Epistylis;13
Homalogastra setosa;13
Lacrymaria marina;13
Leptopharynx bromelicola;13
Meseres corlissi;13
Monosiga ovata;13
Notholca acuminata;13
Oxytricha;13
Prorodon;13
Protaspis;13
Protaspis obliqua;13
Protocyclidium sinica;13
Pseudoplatynematum denticulatum;13
Pseudovorticella punctata;13
Pseudovorticella sp. 5 PS-2016;13
Siluania monomastiga;13
Sphaeroeca;13
Sphaeroeca volvox;13
Tachysoma pellionellum;13
Tetrahymena;13
Trichocerca rattus;13
Vexillifera;13
Vorticella campanula;13
Vorticella sp. PPS-2011b;13
Vorticellides;13
Zoothamnium;13
Enchytraeus norvegicus;14
Fridericia;14
Fridericia bisetosa;14
Fridericia christeri;14
Fridericia connata;14
Fridericia galba;14
Fridericia isseli;14
Fridericia magna;14
Fridericia paroniana;14
Fridericia ratzeli;14
Fridericia sohlenii;14
Fridericia sylvatica;14
Fridericia tuberosa;14
Marionina cf. minutissima PDW-2010;14
Marionina filiformis;14
Ambispora fennica;15
Ambispora gerdemannii;15
Amplimerlinius;15
Amplimerlinius icarus;15
Archaeospora sp. PODO7.3;15
Archaeospora trappei;15
Bos taurus;15
Cetraspora nodosa;15
Claroideoglomus claroideum;15
Diversispora;15
Diversispora varaderana;15
Funneliformis mosseae;15
Glomus;15
Glomus invermaium;15
Glomus sp. 9 SUN-2011;15
Helicotylenchus;15
Helicotylenchus varicaudatus;15
Heterodera;15
Itersonilia pannonica;15
Itersonilia perplexans;15
Longidorus;15
Longidorus raskii;15
Longidorus vinearum;15
Meloidogyne naasi;15
Merlinius brevidens;15
Merlinius cf. microdorus TSH-2005;15
Merlinius joctus;15
Palaeospora spainiae;15
Paraglomus;15
Paraglomus brasilianum;15
Paratylenchus;15
Paratylenchus cf. neoamblicephalus;15
Paratylenchus microdorus;15
Paratylenchus similis;15
Phoma herbarum;15
Pratylenchoides ritteri;15
Pratylenchus;15
Rhizophagus;15
Rhizophagus intraradices;15
Rotylenchulus borealis;15
Rotylenchulus reniformis;15
Rotylenchus vitis;15
Scutellospora alterata;15
Septoglomus;15
Tylenchus arcuatus;15
Xiphinema;15
Xiphinema diversicaudatum;15
Acrobeles sp.;16
Acrobeloides;16
Alaimus;16
Allovahlkampfia;16
Amphidelus cf. pusillus 9 Mile 3-17 LP-02;16
Bastiania;16
Bastiania gracilis;16
Bodo;16
Cephalobus persegnis;16
Eucephalobus striatus;16
Eumonhystera;16
Isolaimium multistriatum;16
Leptomyxa reticulata;16
Leptomyxa sp. AS-2016b;16
Mesorhabditis sp. 334Meso1;16
Metateratocephalus;16
Neobodo designis;16
Obertrumia georgiana;16
Panagrolaimus sp. PS443;16
Plectus;16
Plectus aquatilis;16
Prismatolaimus;16
Prismatolaimus cf. dolichurus JH-2004;16
Prodesmodora circulata;16
Rhabditis;16
Rhabdolaimus;16
Teratocephalus terrestris;16
Alicorhagia;17
Stigmalychus sp. AD1318;17
Isotomiella minor;18
Megalothorax;18
Megalothorax sp. EA040003-cs17;18
Megalothorax sp. EA040004-cs23;18
Megalothorax sp. EA040008-cs9;18
Podura aquatica;18
Protaphorura armata;18
Tetrodontophora bielanensis;18
Tullbergia yosii;18
Bradysia subrufescens;19
Buchholzia fallax;19
Campodea;19
Campodea fragilis;19
Peyerimhoffia alpina;19
Tipula abdominalis;19
Tipula cockerelliana;19
Chlamydomyxa labyrinthuloides;20
Chytridium polysiphoniae;20
Epipyxis pulchra;20
Mallomonas;20
Ochromonas;20
Ochromonas sp. CCMP2761;20
Ochromonas vasocystis;20
Paraphysomonas;20
Paraphysomonas sp. 22 JMS-2012;20
Poterioochromonas;20
Poterioochromonas malhamensis;20
Poterioochromonas stipitata;20
Rhizophydium planktonicum;20
Spumella;20
Spumella lacusvadosi;20
Spumella sp. 37G;20
Spumella sp. CH3;20
Spumella sp. SpiG;20
Spumella vulgaris;20
Candidatus Nitrosocosmicus;21
Candidatus Nitrososphaera gargensis;21
Cenarchaeum symbiosum;21
Methanomassiliicoccus sp. 138;21
Methanomassiliicoccus sp. 142;21
Methanomassiliicoccus sp. P27;21
Nitrososphaera;21
uncultured Candidatus Nitrosopumilus sp.;21
uncultured Nitrososphaera sp.;21
Notiophilus rufipes;22
Trechus;22
Trechus obtusus;22
Trechus quadristriatus;22
Noctua pronuba;23
Pemphigus;23
Anystis;24
Blaberolaelaps sp. APGD-2010;24
Chthonius;24
Chthonius sp. 2 JM-2008;24
Lithobius forficatus;24
Lithobius variegatus;24
Veigaia;24
Veigaia nemorensis;24
Veigaia sp. 2 APGD-2010;24
Pythium;25
Pythium monospermum;25
Pythium rostratifingens;25
Choleva angustata;26
Eosentomon sp. FNSA-2002;26
Forficula;26
Forficula auricularia;26
Forficula sp. NC-1995;26
Gliricola sp. 274;26
Lonchoptera lutea;26
Robertus neglectus;26
Tachyporus hypnorum;26
Barynotus moerens;27
Barynotus obscurus;27
Cylindroiulus caeruleocinctus;28
Liochthonius sp. AD1300;28
Pilogalumna rosauraruizae;28
Polydesmus coriaceus;28
Protoribates hakonensis;28
Rhizoglyphus;28
Tectocepheus;28
Acyrthosiphon pisum;29
Aphanomyces;29
Sitona lineatus;29
Tetranychus urticae;29
Aulacorthum solani;30
Myzus persicae;30
Kuzuhaea moniliformis;31
Piptocephalis graefenhanii;31
Syncephalis depressa;31
Syncephalis fuscata;31
Aphis;32
Rhopalosiphum padi;32
Endogone;33
Endogone sp. OSC T14506;33
Endogone sp. W5994;33
Cladosporium;34
Cladosporium sp. CB-20;34
Agriotes;35
Agriotes sordidus;35
Athous;35
Allolobophora chlorotica;36
Aporrectodea;36
Aporrectodea caliginosa;36
Aporrectodea longa;36
Aporrectodea rosea;36
Lumbricus;36
Lumbricus castaneus;36
Lumbricus centralis;36
Lumbricus friendi;36
Lumbricus terrestris;36
Octolasion;36
Octolasion cyaneum;36
Satchellius mammalis;36
Anatonchus tridentatus;37
Aporcelaimellus sp. 2010_050;37
Clarkus;37
Diplogasteroides magnus;37
Nygolaimus cf. brachyuris JH-2004;37
Odontolaimus;37
Gaeumannomyces graminis;38
Limonomyces roseipellis;38
Magnaporthe;38
Polymyxa graminis;38
Rhizoctonia solani;38
Rhizophydium;38
Waitea circinata;38
Basiria;39
Boleodorus volutus;39
Neopsilenchus magnidens;39
